node_label,node_id,n_lsoas,mean_ahah_pct,mean_domain_r,mean_fast_food,mean_prop_car_0,mean_prop_dep_4,mean_prop_ethnic_white,mean_prop_class_never_worked,mean_prop_econ_inactive,mean_prop_dep_0
Node 1,cube49_cluster0,155,90.471,0.938,0.765,60.951,1.066,52.584,3.916,38.491,35.575
Node 2,cube56_cluster0,15,88.667,0.95,0.686,63.513,1.239,43.167,4.399,42.1,30.093
Node 3,cube48_cluster0,382,87.901,0.775,0.848,56.57,0.943,41.679,4.08,39.579,33.63
Node 4,cube50_cluster0,23,87.087,1.06,0.692,60.978,1.178,68.343,3.957,39.543,36.065
Node 5,cube55_cluster0,53,86.83,0.794,0.806,56.981,1.101,31.049,4.606,43.811,28.402
Node 6,cube47_cluster0,473,86.127,0.663,0.845,51.499,0.815,30.621,4.323,41.41,32.318
Node 7,cube54_cluster0,127,85.228,0.769,0.726,49.757,0.976,19.491,4.962,47.519,26.9
Node 8,cube52_cluster0,25,85.2,0.78,0.623,41.792,0.674,7.52,5.345,50.764,26.508
Node 9,cube53_cluster0,134,84.284,0.669,0.718,44.03,0.84,11.208,5.252,50.035,26.004
Node 10,cube46_cluster0,344,83.767,0.643,0.803,43.611,0.686,18.161,4.694,44.942,30.53
Node 11,cube39_cluster0,884,83.735,0.564,0.921,46.656,0.665,39.722,3.836,37.278,37.864
Node 12,cube40_cluster0,909,83.457,0.673,0.889,50.763,0.783,51.794,3.722,36.933,38.546
Node 13,cube38_cluster0,441,81.755,0.539,0.908,38.143,0.563,27.039,4.084,39.76,36.341
Node 14,cube36_cluster0,41,81.317,0.691,0.748,34.349,0.04,12.01,4.828,46.163,31.156
Node 15,cube45_cluster0,128,81.188,0.667,0.735,35.487,0.563,10.155,4.989,47.739,28.584
Node 16,cube37_cluster0,134,79.761,0.549,0.879,31.072,0.431,15.425,4.459,43.267,33.61
Node 17,cube30_cluster0,437,78.755,0.447,0.99,32.854,0.39,36.329,3.585,35.975,43.251
Node 18,cube29_cluster0,168,78.226,0.394,1.028,27.922,0.153,27.426,3.834,38.308,41.136
Node 19,cube44_cluster0,9,78.111,0.636,0.651,30.956,0.135,5.311,5.339,50.789,27.367
Node 20,cube31_cluster0,1001,78.012,0.481,0.981,38.173,0.521,49.575,3.482,35.364,42.762
Node 21,cube41_cluster0,589,77.265,0.681,0.921,51.312,0.883,67.678,3.852,39.737,36.03
Node 22,cube28_cluster0,74,76.054,0.394,0.997,23.062,0.0,18.685,4.012,40.659,39.707
Node 23,cube32_cluster0,1480,75.032,0.523,0.988,41.424,0.619,63.416,3.424,35.875,42.259
Node 24,cube22_cluster0,519,74.2,0.401,1.051,28.939,0.112,50.605,3.236,34.744,47.213
Node 25,cube21_cluster0,275,72.873,0.322,1.083,20.837,0.015,35.753,3.394,37.255,46.489
Node 26,cube23_cluster0,1081,72.408,0.441,1.057,31.321,0.292,62.808,3.122,34.601,47.414
Node 27,cube20_cluster0,74,71.568,0.189,1.12,15.851,0.0,21.745,3.479,38.026,47.261
Node 28,cube42_cluster0,269,67.238,0.662,0.944,49.329,0.939,85.814,4.201,45.996,30.422
Node 29,cube24_cluster0,2253,65.498,0.437,1.065,32.244,0.445,75.379,3.146,36.38,44.841
Node 30,cube33_cluster0,1590,64.154,0.459,1.024,40.896,0.714,80.613,3.706,41.026,36.344
Node 31,cube14_cluster0,662,63.962,0.223,1.241,18.175,0.006,61.008,2.825,35.692,52.711
Node 32,cube15_cluster0,1925,62.043,0.347,1.163,23.539,0.066,75.797,2.769,35.487,51.082
Node 33,cube43_cluster0,68,60.088,0.798,0.832,47.309,1.168,90.626,4.074,46.204,29.14
Node 34,cube12_cluster0,11,59.727,0.049,1.402,9.164,0.0,25.036,3.07,37.536,56.836
Node 35,cube13_cluster0,123,59.089,0.082,1.358,12.401,0.0,40.18,2.913,36.911,55.059
Node 36,cube34_cluster0,1042,57.228,0.481,1.034,39.867,0.851,90.255,3.785,43.94,33.434
Node 37,cube6_cluster0,384,54.521,-0.064,1.583,10.658,0.0,65.352,2.41,34.571,59.457
Node 38,cube25_cluster0,3489,54.093,0.414,1.103,30.852,0.601,88.129,3.256,39.945,40.388
Node 39,cube16_cluster0,4211,52.781,0.289,1.281,22.802,0.246,87.168,2.838,38.073,47.944
Node 40,cube5_cluster0,7,50.429,-0.324,1.735,6.229,0.0,45.014,2.318,34.743,64.9
Node 41,cube7_cluster0,3959,50.259,-0.008,1.656,13.179,0.003,84.404,2.339,35.819,56.93
Node 42,cube35_cluster0,180,49.311,0.588,0.997,37.817,1.133,93.098,3.586,43.808,33.247
Node 43,cube26_cluster0,1844,47.959,0.401,1.132,29.689,0.769,93.032,3.262,41.63,38.547
Node 44,cube3_cluster0,316,47.313,-0.982,4.548,6.053,0.353,96.234,1.875,36.08,60.33
Node 45,cube17_cluster0,5664,45.2,0.147,1.544,20.202,0.504,92.369,2.751,39.301,46.994
Node 46,cube1_cluster0,1744,43.697,-0.367,2.236,7.677,0.0,88.413,1.984,33.456,62.32
Node 47,cube8_cluster0,10477,43.075,-0.237,2.322,12.945,0.068,93.81,2.413,39.743,53.556
Node 48,cube2_cluster0,6384,42.522,-0.618,3.264,8.179,0.01,95.071,2.09,38.48,58.254
Node 49,cube9_cluster0,4251,42.496,-0.433,2.846,11.656,0.424,94.848,2.327,39.081,53.569
Node 50,cube27_cluster0,146,39.829,0.385,1.23,28.292,1.081,94.475,3.114,41.611,38.112
Node 51,cube10_cluster0,364,39.332,-0.721,3.524,10.604,0.637,96.771,2.288,39.894,52.291
Node 52,cube18_cluster0,1440,38.489,0.022,1.758,19.566,0.694,95.184,2.75,40.715,45.227
Node 53,cube19_cluster0,16,34.312,0.108,1.598,18.888,1.014,95.512,2.581,38.5,47.162
Node 54,cube0_cluster0,12,22.417,-0.547,2.06,4.558,0.0,69.267,1.796,20.842,70.275
